"RunDir";"EntrySize";"RunType";"EntryName";"RunFile"
"AlterEgo";"193635";"file";"AlterEgo";"AlterEgo\AlterEgo"
"AnotherWorldTheLostLevel";"738117";"file";"AnotherWorldTheLostLevel";"AnotherWorldTheLostLevel\another"
"BlockySkies";"673260";"file";"BlockySkies";"BlockySkies\BlockySkies"
"CC2AGA";"5083555";"file";"CC2AGA";"CC2AGA\tennis_organizer"
"GianaSistersSE";"2352346";"runscript";"GianaSistersSE";"GianaSistersSE\_run"
"GianaSistersSE";"2352346";"whdload";"GianaSistersSE";"GianaSistersSE\GreatGianaSisters.slave"
"HeartOfTheAlienReduxAGA";"39932258";"runscript";"HeartOfTheAlienReduxAGA";"HeartOfTheAlienReduxAGA\_run"
"MonstersOfTerrorAGA";"59972";"file";"MonstersOfTerrorAGA";"MonstersOfTerrorAGA\MonstersOfTerror"
"NoMansLand";"779298";"whdload";"NoMansLand";"NoMansLand\NoMansLand.Slave"
"OnEscapeeAGA";"114261375";"runscript";"OnEscapeeAGA";"OnEscapeeAGA\_run"
"ScorchedTanks";"807251";"runscript";"ScorchedTanks";"ScorchedTanks\_run"
"SimCity2000AGA";"4237381";"file";"SimCity2000AGA";"SimCity2000AGA\SimCity2000"
"Sqrxz2";"413526";"file";"Sqrxz2";"Sqrxz2\sqrxz2"
"SuperCars2";"1920591";"whdload";"SuperCars2";"SuperCars2\SuperCars2.Slave"
"SWOS1617";"1616733";"runscript";"SWOS1617";"SWOS1617\_run"
"TanksFurry";"839023";"file";"TanksFurry";"TanksFurry\tf"
"TotalPattern";"2430602";"file";"TotalPattern";"TotalPattern\TotalPattern"
